gene	baseMean	log2FoldChange	lfcSE	svalue	significative	up
283518	36.0178105815242	1.90605135919934	1.14112627580886	0.0352537035798126	no	TBCK
729683	295.05667227593	1.90369081819355	1.26127874729369	0.0429096772587965	no	TBCK
653604	894.082037393447	1.9002607185185	1.5632863783454	0.0511030730739582	no	TBCK
64919	6287.60848826181	1.83980323600534	1.69487361291695	0.0618898242621066	no	TBCK
389337	50.4604446868016	1.82635941911078	1.08024277748714	0.0359913356132538	no	TBCK
3642	1000.20881333961	1.82160192452545	1.51657549627411	0.0522850426208728	no	TBCK
1869	394.215546620988	1.81072314595252	1.12874243301513	0.0412563282450975	no	TBCK
8356	490.975502263793	1.79911902198364	1.28143711310226	0.0457207243346279	no	TBCK
102724934	188.369538081525	1.79435745361409	1.58322071954486	0.0594883254234851	no	TBCK
64288	162.26116250872	1.77361112853059	0.745275463494023	0.0144132792762262	no	TBCK
238	378.811868688908	1.75265331488776	0.836659781683459	0.0220592832104028	no	TBCK
100507032	128.794560611233	1.72856647618254	0.937207626883667	0.0287705647037941	no	TBCK
8187	186.910787554138	1.72197777940589	1.23929736260577	0.0477417109905344	no	TBCK
105375304	307.844160735636	1.69519180297901	0.990476736113509	0.0367539406907542	no	TBCK
100507437	78.871697005535	1.68976754445381	1.44582496853931	0.0583002640802903	no	TBCK
3736	146.141029932406	1.6833727131397	0.984030840680189	0.0375094369405648	no	TBCK
9411	876.874271635895	-1.66852371904792	0.862503133946201	0.0266249959297261	no	control
8969	5794.33867721917	1.65588272938599	1.38253136738709	0.0547039115121338	no	TBCK
79640	768.922336478377	1.65289780146753	1.27440258115972	0.0499569265630025	no	TBCK
1770	111.816336613159	1.63210726638835	0.95113039774268	0.0397342221681292	no	TBCK
7447	308.039718665689	1.62367904411246	1.13835266008359	0.0467389145759842	no	TBCK
203054	84.6608087993077	1.61976116852203	0.773009334459681	0.0238132579988421	no	TBCK
429	2754.93373426787	1.6137361508305	1.58814529934031	0.0695857186310305	no	TBCK
8370	2990.39851889724	1.57615260731279	1.29306390754145	0.057105284196946	no	TBCK
9423	1662.06241095495	1.53370612684174	1.27826595484214	0.0606777043043385	no	TBCK
11042	262.910710832411	-1.52636597843934	0.773352900101041	0.0280352465239149	no	control
54762	299.027529016561	1.46234247012031	0.930895032387962	0.0447419856607107	no	TBCK
646113	392.634574501429	1.41142498160564	1.88717783332015	0.0800867394671317	no	TBCK
645431	110.043974692938	1.39606225105044	1.44413476186608	0.0737867840609856	no	TBCK
78999	402.719216950662	1.39574605668231	0.69375033167584	0.0316134698648208	no	TBCK
283659	1207.46476325137	-1.36885377704535	0.67709315600844	0.0323227980997325	no	control
4212	9716.99676362033	1.35675939769499	1.16071961590989	0.0656952314803474	no	TBCK
4605	1042.88223293318	1.33940459707103	1.14819884647953	0.0669675627515956	no	TBCK
8318	206.763459815833	1.31701908642838	1.5685548610532	0.0783998578972133	no	TBCK
728190	1646.41422484719	-1.28773136209628	0.673503682782788	0.0404944682587508	no	control
388419	183.849795401948	1.25591514575853	3.91632195976729	0.0899106490448958	no	TBCK
5979	99.6657592657964	-1.2380910696403	0.861144064671608	0.0534801120103782	no	control
5184	324.016262139073	1.23087102003813	1.34153210927096	0.0767851658972358	no	TBCK
197342	609.914014469748	1.21537171923346	1.01554900238458	0.0682828541585921	no	TBCK
64101	1412.99729788086	1.20895534494725	1.87970581652414	0.0855358139064625	no	TBCK
56479	72.3633779851999	1.19640557224398	1.12752387824516	0.0752073610491963	no	TBCK
7587	5044.77510451612	-1.1779575975914	0.566438100302359	0.0382610476714368	no	control
9671	137.71447973213	1.14786741886599	1.62671528277114	0.0836520783342522	no	TBCK
55203	167.042400048067	1.14487260742815	0.873296616285811	0.0644198580746059	no	TBCK
440248	1106.33166464281	1.14354621086109	0.833505747023448	0.0631252855701501	no	TBCK
118924	2083.85553419446	-0.957665027589731	0.723946857210705	0.0723520961490983	no	control
58533	2052.21035695672	-0.00161425757879916	0.00278306364887269	0.993650437574532	no	control
378706	191528.539549441	0.000928800160249872	0.00165474653714973	0.991559772568693	no	TBCK
5885	20384.6567013819	-0.000900969563111539	0.00163824511457377	0.993659589877072	no	control
25793	3545.36237830974	0.000899871489712992	0.0016376187627165	0.989464035458005	no	TBCK
4869	35136.6234856455	-0.0007956360655211	0.0015847386434501	0.992454516788353	no	control
5411	16990.0549682199	-0.000777412648141601	0.00157676285279879	0.992913218630122	no	control
8503	8653.62461178152	0.000737797981244134	0.00156058166881178	0.994833289382229	no	TBCK
7086	15163.0093369003	0.000660344358914481	0.00153310263094022	0.994214688474858	no	TBCK
7158	16480.8123387261	-0.000611169742625821	0.0015181995310193	0.99422986638004	no	control
6161	9487.41233902814	-0.000553018974607925	0.00150283747597668	0.993748794131289	no	control
3897	8044.7561067659	-0.000539646331813544	0.00149962076430989	0.991743542771164	no	control
71	54437.1743450953	-0.000536981556475832	0.00149899581399959	0.994218237123708	no	control
60436	813.579265426948	0.000535618203016919	0.00149867600888138	0.99371215724551	no	TBCK
26135	19395.169807442	0.000533832944032144	0.00149825814089792	0.98970005027408	no	TBCK
84908	1448.4083072147	-0.000503718669172352	0.00149153760638473	0.994813388519888	no	control
5230	7286.78890165163	-0.000486116300749412	0.00148785993948769	0.992830827625985	no	control
9918	5053.57113441913	0.000469441890967388	0.00148453931637895	0.995161229250202	no	TBCK
7846	96929.5655341037	-0.000466068193245934	0.00148388781816642	0.994411427777559	no	control
10783	1437.32132274633	0.000450039023509159	0.00148086936511403	0.980099086730736	no	TBCK
4947	6725.09519614632	0.000425062837394768	0.00147644308967745	0.992490584653247	no	TBCK
23036	8597.28513474046	0.000404097973351731	0.00147297851578941	0.988636617937786	no	TBCK
10628	21499.9827982522	-0.000377996508699037	0.00146897176154539	0.979616472677095	no	control
6294	24021.1914939249	0.000377973233226572	0.00146896589231933	0.99378149211213	no	TBCK
10927	7025.61444609962	-0.000365308588326916	0.00146713812042225	0.982018945920631	no	control
23215	34611.4161918988	0.000350359818464893	0.00146508008162984	0.988792954913929	no	TBCK
9994	4677.50793148389	0.000345273316970828	0.00146440106080359	0.995173793808708	no	TBCK
1462	52711.8161695	0.00034492449639845	0.00146435844033319	0.986115008850117	no	TBCK
65267	3897.43348746981	-0.000334832309809298	0.00146304720965646	0.99404257343287	no	control
4678	9768.27677824451	0.000330788033707475	0.00146253931302422	0.992381771395422	no	TBCK
10664	6750.27994136017	0.000329617010738723	0.00146238963122504	0.979766489437521	no	TBCK
3945	28831.0858926036	0.00032857688888432	0.00146226008001389	0.991851120421854	no	TBCK
1153	18352.0518058884	0.000327886564317919	0.00146217549531802	0.983837972334539	no	TBCK
6625	16159.8147746688	0.00031567042250423	0.00146069001118486	0.994102214261967	no	TBCK
29896	7650.87544901382	-0.000313661055795994	0.00146045274956818	0.99077504677466	no	control
1938	94943.77447394	0.000301049477217028	0.00145900130706419	0.987624218710636	no	TBCK
2664	21872.2099176955	-0.000300402069111282	0.00145892680645259	0.989857585436285	no	control
134829	2831.98923910431	0.000284240314115791	0.00145717110953637	0.985460229628857	no	TBCK
23513	6130.83944876798	-0.000268589356828381	0.00145557214829629	0.989017730035911	no	control
5991	5846.04459056079	0.000267803090240791	0.00145549509196628	0.993698345070031	no	TBCK
583	4067.02163341726	-0.000265461550717707	0.00145526507468083	0.993633589546097	no	control
6228	17324.9935976992	-0.000257534594332037	0.00145450654665388	0.993767100137517	no	control
2768	2453.85686307775	-0.000257140045145398	0.00145446800325349	0.990119575030811	no	control
6651	25264.5581154064	-0.000252997108298002	0.00145408102628774	0.994109585506919	no	control
4779	22004.6540134814	-0.000243163930088951	0.00145319287258336	0.992422454442234	no	control
80124	6178.31635718771	0.000234742723583147	0.00145246002912653	0.994554186369739	no	TBCK
23095	28698.2168605009	-0.000234176086365543	0.00145241253745041	0.988687273391471	no	control
6029	236562.878260989	-0.000221721696821421	0.00145138469411627	0.993707359883244	no	control
6319	68457.8848226467	0.000217017999308798	0.00145101499947405	0.993788224633379	no	TBCK
79871	2341.41267727673	0.000211185228191038	0.00145056272573202	0.994520493464747	no	TBCK
23499	60293.7476860494	-0.000208676690646168	0.00145037297160933	0.989005835550405	no	control
2023	7946.33089575146	-0.000207716005113261	0.00145030447362104	0.98790994449029	no	control
4650	7332.59923783984	-0.000207212414805126	0.00145026351123057	0.992372524369199	no	control
2562	2816.32922106615	-0.000195396539283322	0.00144941303236933	0.989388633331578	no	control
65998	5224.65775631961	0.00019049714649327	0.00144907616930851	0.994092445344772	no	TBCK
