gene	baseMean	log2FoldChange	lfcSE	svalue	significative	up
653075	75.6190222132436	4.97259476486818	1.1155619169618	5.76746681454179e-06	yes	TBCK
414224	101.716127843777	-4.46080527913972	0.776736495125403	8.04329846854056e-08	yes	control
684	972.266780652909	4.32822635656569	0.781167524660024	1.79726625740318e-07	yes	TBCK
26851	222.560731328048	4.07485448341619	0.550604783975971	4.21848272909495e-11	yes	TBCK
94274	143.832340048642	3.18827573259247	0.597688333972068	8.30420728530477e-07	yes	TBCK
101930100	123.443007827301	-2.65722493215374	0.812849238615938	0.000904098907327754	yes	control
283120	10651.5638081155	2.5228796388781	1.91895357498045	0.0461945518318822	no	TBCK
101928180	56.6286878209236	2.51283337986855	1.04627713599187	0.00958199688411913	no	TBCK
3791	628.82381878978	2.51162809797711	0.574000153706445	3.76101296250832e-05	yes	TBCK
6623	246.477752118698	2.42259496788628	0.823549001621287	0.00239976831178175	yes	TBCK
8293	150.858388265599	2.29007937692555	1.45479665374152	0.0351506292979731	no	TBCK
102724594	2913.0013554168	-2.18344802297528	0.31985380480586	3.54173770392117e-08	yes	control
85449	352.580901425465	-2.1232400059511	0.507132543982748	0.000215851247879942	yes	control
6447	257.477023387596	2.11318855424428	0.936577099944877	0.0158527208168145	no	TBCK
101928092	193.374431753342	2.04436819577488	0.713743262583487	0.00433343538179212	yes	TBCK
105376805	40.6069942052252	1.9934563931838	1.50255483854706	0.0490937409779281	no	TBCK
57453	118.518880700794	1.93745243854376	0.722377191288505	0.00848236466807195	no	TBCK
29785	114.609609772741	1.93052472185994	0.828667831267879	0.0152028891110464	no	TBCK
136853	195.113164442672	1.91824417993464	0.89351104371821	0.0207233692739859	no	TBCK
148170	178.657804051268	1.89638971097725	0.698406268284083	0.00797136245797167	no	TBCK
6261	966.520883575687	1.85582078953301	0.65849645599673	0.00694076581466068	no	TBCK
387628	355.026070073189	1.85358629740389	0.445134103262247	0.000303460620683738	yes	TBCK
10842	306.399852626041	1.83609940123275	1.14185705747198	0.0398570655657083	no	TBCK
55057	222.347273586627	1.82633892899743	0.652148881147813	0.00744238116428385	no	TBCK
80307	756.14246753651	1.77333931326724	0.670372148164262	0.0101629235125216	no	TBCK
729162	1517.10078296777	1.76968289430807	0.456522853858193	0.000667621343306452	yes	TBCK
5443	279.095542192554	1.7674954720255	0.508802283054938	0.00152129168713145	yes	TBCK
553158	90.9087154880997	1.72569413677985	2.06538297022732	0.0907608632642216	no	TBCK
286749	304.519370696829	1.70432612187652	0.821176479352444	0.0263323609209171	no	TBCK
10628	12472.5871514841	1.69551983218799	0.46799923598786	0.00119825940749592	yes	TBCK
1381	2844.4361204434	1.69223764464524	0.511005874785707	0.00279035648656178	yes	TBCK
2621	1385.42687637721	1.65498915170727	0.355959299563779	0.0001063870677821	yes	TBCK
109617002	368.454658636811	-1.64680343952274	0.547153933112863	0.005944850579025	no	control
10901	705.09125344484	1.6397560485742	0.541444737112511	0.00544073497171297	no	TBCK
5024	554.54030460558	1.63284276465978	0.537885146490123	0.00491013830993292	yes	TBCK
256764	169.923726651504	1.62727720201462	0.614065776692269	0.0119527918853064	no	TBCK
4185	815.867365928596	1.61989829888009	0.625134188119076	0.0131870843850694	no	TBCK
3115	735.682287770373	1.61934931277361	0.473757228754084	0.00196539300178912	yes	TBCK
482	966.669805520471	1.5845343779234	0.500272632037569	0.00381400675407283	yes	TBCK
3776	414.177338187005	-1.57162864880103	0.474732710513389	0.00325052436260895	yes	control
27286	195.306173459305	-1.57013642387034	0.545823770940588	0.00901401279661584	no	control
8519	157.887402053993	1.53045017421487	0.616944355282114	0.0178567243878864	no	TBCK
3434	584.007881332656	1.52689288499187	0.563488691763435	0.0125540233380115	no	TBCK
8623	2477.47210479757	1.49720819807174	0.308877692424413	0.000163703000866067	yes	TBCK
84960	875.252253019521	1.47782601794051	0.531242446159868	0.0113458258663557	no	TBCK
150967	1264.45650156573	-1.47751725671978	0.350329400177892	0.000497598953765146	yes	control
29993	189.184667244202	1.47662356436842	0.635693332471543	0.0230824656190514	no	TBCK
2766	203.29257394751	1.45084359381185	0.927349224980845	0.0476133255320367	no	TBCK
79191	477.443765860982	1.44490695421256	1.02615005638743	0.0594362359641453	no	TBCK
91947	2410.74422869806	1.43194785103537	0.449305747246048	0.00644814825516021	no	TBCK
26232	452.413035041656	1.42636939094578	0.665493842547317	0.0298724915488047	no	TBCK
283234	518.507327400048	1.3720041141389	0.600364932778434	0.0271543777437714	no	TBCK
11170	393.501000335968	1.36140430431848	0.95612464507111	0.0609168992921034	no	TBCK
1	193.456619339176	1.34247310977966	0.726302062451223	0.0421776464412366	no	TBCK
168544	633.727544096571	1.31587488852667	0.482986494952928	0.0171844877251694	no	TBCK
139728	272.104651989994	1.292576592552	0.513915461622455	0.0223148495144474	no	TBCK
84433	106.990107810157	1.28124744019525	0.894364760577799	0.0624495153675156	no	TBCK
230	911.050002934357	1.27016419446225	0.593572773461944	0.0329075104474316	no	TBCK
64344	749.216208361996	1.25390191184358	0.509661942569128	0.0246894422067569	no	TBCK
140576	109.154188382275	1.24765327019407	1.08310045831644	0.0779610989250588	no	TBCK
3005	19685.01442035	1.24477778871072	0.423614866211686	0.0138582138437302	no	TBCK
5582	246.478519440222	1.242605178559	0.530200023474218	0.0280769725779545	no	TBCK
1303	4876.05726884273	-1.24070332742173	0.553316742209223	0.0308637718936226	no	control
9961	734.523715988208	1.23029700148905	0.419082326410647	0.0145292807911122	no	TBCK
200316	183.367901074628	1.21650051090756	0.649643545473307	0.0434672959003275	no	TBCK
26032	241.248044471327	-1.21466570524956	0.541012915839686	0.0318700737974036	no	control
57572	1483.08654599012	1.21173750404551	0.375120001891202	0.0107137273112254	no	TBCK
3710	365.005572076971	1.19750064109363	1.20775416592992	0.0944645776647649	no	TBCK
201299	249.689049279173	1.18622376004138	0.581754612691791	0.0386641081598373	no	TBCK
9884	396.544619353025	1.13509783956343	0.86495190743668	0.0726827527517692	no	TBCK
10848	297.619978742256	1.13103625877753	0.497569570222237	0.0339926527967622	no	TBCK
100132874	233.435806053908	1.13053578377356	0.590599901383988	0.0448286502525412	no	TBCK
4062	191.898434423223	1.114695475444	0.958701057911636	0.0833356603720157	no	TBCK
10781	2194.45899484042	1.10981569955987	0.375928022500259	0.0192346237120257	no	TBCK
3654	769.221893955106	-1.10841218996138	0.381098828123319	0.0199837386621104	no	control
6641	606.848134366248	-1.10628514250648	0.618304814232508	0.0505783003753072	no	control
100131564	1616.90471043307	1.10138914141883	0.407786713445668	0.0255157797871929	no	TBCK
3675	1129.5031539481	1.08744467181818	0.384746301865695	0.0238431897499692	no	TBCK
100526835	367.023317209094	1.07671860914464	0.470368332883227	0.0362859307397032	no	TBCK
23769	678.160811442169	1.06951790872354	0.474870817208626	0.0374638045054655	no	TBCK
728190	1600.44572931758	-1.06264262197919	0.338195796141922	0.0185139750550691	no	control
4232	6558.26054497647	1.04669395468003	0.392671208981458	0.0289896396671021	no	TBCK
402665	1096.03649314915	1.04498309687118	0.352608507617646	0.0215309729270642	no	TBCK
54550	470.888335404573	1.03875369118785	0.891401340472845	0.088904059755096	no	TBCK
83481	1634.4118778664	1.0304918672325	0.685226058209831	0.0692504195249503	no	TBCK
146754	297.056547676044	1.02528660857179	0.563230412226131	0.0579833814299899	no	TBCK
5272	307.254503824596	1.00452173512855	0.735628359335221	0.0797342210269518	no	TBCK
4267	7673.83511779201	1.00063112199832	0.294765000196722	0.0165239465558776	no	TBCK
91768	737.404938659592	-0.964410871951803	0.397674735435099	0.0410225434886205	no	control
9079	681.599313491567	0.955878611937719	0.878744598320622	0.101810374274747	no	TBCK
3105	943.260427864412	0.95382705877203	0.579137947883619	0.0658258280388076	no	TBCK
7137	214.953389910595	0.935407045791855	0.783898850240502	0.0999222108380392	no	TBCK
84570	1360.70923953509	0.923482141979794	0.44517367896745	0.0550474514057067	no	TBCK
255738	1788.2762770104	0.918343821256679	0.731765018330152	0.0962847788998984	no	TBCK
83982	341.264223072585	0.917965675325447	0.658547410509863	0.0851671246750207	no	TBCK
57653	595.980435517901	0.886850954561825	0.499768138287059	0.0709192748764949	no	TBCK
80221	1130.15988974663	0.884725102695508	0.41222629890245	0.0565324966666793	no	TBCK
10491	4598.95695635403	0.884248136750156	0.399910957926599	0.0520877806606932	no	TBCK
91179	391.629915233216	0.879669472379834	0.528245525260026	0.0761649176258117	no	TBCK
10156	2350.73071782315	0.848747713687111	0.478508752620244	0.0744259323012496	no	TBCK
100499483	688.256546621907	0.844656254723131	0.413024302310492	0.0640722905941233	no	TBCK
745	899.901721790832	0.829645969725904	0.421399781976685	0.0675440533602459	no	TBCK
5129	394.700332117069	0.818773408871487	0.523367984037803	0.0870466025061478	no	TBCK
728034	498.362049153121	-0.817909644255341	0.467191743485769	0.0814880694883238	no	control
7587	6674.36998154629	-0.808148288112306	0.531976728834001	0.0926280093292341	no	control
400745	284.66320000515	0.794350210151962	0.729623554222526	0.109785453533421	no	TBCK
55890	371.834846957275	0.794253971074632	0.838985280539612	0.114230953027148	no	TBCK
4670	38538.3866680401	-0.792504521817769	0.306830503928378	0.0535830817601678	no	control
51673	1962.73796806832	0.765842179203435	0.736217648495667	0.112010720909412	no	TBCK
254102	619.746343830981	0.760927030443107	0.503734843566582	0.103666152390603	no	TBCK
25946	718.618245048932	0.742305512174886	0.435192690731799	0.0981186354665477	no	TBCK
85495	223033.112983051	0.722264880508068	0.467377978932048	0.10562513263981	no	TBCK
692247	413.602981114725	0.703979346896047	0.629381706675541	0.118693396286943	no	TBCK
23475	2155.70759155173	0.695176535568775	0.746526498789977	0.123292449447112	no	TBCK
122622	558.942936429797	0.64559809943049	0.582974582403808	0.1256492101584	no	TBCK
9774	18000.0131348013	-0.644348318244514	0.32757182393219	0.107662440584212	no	control
105374985	3258.73469204241	-0.642596647864993	0.461246432512978	0.120933986023303	no	control
6133	5776.52875119775	-0.635779484779608	0.404982424363721	0.116463223213295	no	control
84910	1121.20360655586	0.5987288241078	0.495503383934733	0.130444944901305	no	TBCK
27340	3450.47710350456	-0.596435379490425	0.404368146339151	0.128003021982364	no	control
57407	565.066653845547	0.582699408880876	0.738358420997581	0.135743364964757	no	TBCK
6431	14263.1588361456	-0.545398407993477	0.37551999646219	0.133101492362704	no	control
8635	1817.22203239553	0.540619326495004	0.989842666695792	0.138571740376193	no	TBCK
55876	1986.35482347342	0.499538456748565	0.549665465265117	0.141489185888692	no	TBCK
387	10021.6608420269	-0.00188986585717532	0.00504360345177757	0.993557921878983	no	control
10778	2909.27971573593	-0.00146997074916927	0.00234386930930996	0.985115304677041	no	control
5612	5316.55848674204	0.00146521273327548	0.00233254017822934	0.99487702882821	no	TBCK
11331	5927.01977418216	0.00136623197231096	0.00212880529204275	0.987618592585508	no	TBCK
6235	2352.02536623909	-0.00118961090229967	0.00187555852897838	0.995177779446014	no	control
10276	3779.29618044861	-0.00102849067479521	0.00172352007789123	0.974230128068312	no	control
7414	13406.8225761857	-0.000900173835318492	0.00163778181185057	0.995616415855474	no	control
57178	8684.74871074982	0.000844761636357889	0.00160802520131418	0.994974254510915	no	TBCK
10565	6376.57292846418	-0.000841729493224596	0.001606512574426	0.984602930149002	no	control
51335	9165.10428142373	0.000832013373690303	0.00160172176095547	0.994380524654254	no	TBCK
